x,y
14,0.6502072
17,0.889333599
8,0.267095025
8,0.326033734
10,0.468330657
6,0.120683009
13,0.64952823
11,0.442205072
18,0.958830738
7,0.219004931
18,0.929026495
15,0.788881624
2,0.007093326
5,0.080644881
7,0.159672012
8,0.252492222
3,0.040750501
12,0.44111604
7,0.248571064
2,0.006069982
9,0.328753139
13,0.655255615
17,0.843164982
7,0.17769746
13,0.68253385
4,0.044634738
9,0.336500278
2,0.001078626
1,0.003014317
2,0.003053076
8,0.312345848
11,0.434537437
20,0.98450325
1,0.0010904
5,0.056975936
18,0.888215575
11,0.455098788
5,0.065309108
10,0.398106943
8,0.239768629
1,0.011269867
13,0.667031506
16,0.767479153
11,0.51212275
18,0.917781403
18,0.937763766
16,0.84660352
12,0.50333597
6,0.122819118
9,0.370352176
8,0.226969007
6,0.193100928
2,0.000215796
2,0.009066982
11,0.454550471
19,0.939309193
9,0.406791114
6,0.1356041
1,0.010912489
18,0.922140188
11,0.465421977
10,0.3978935
13,0.608244333
11,0.476012566
13,0.591621262
8,0.283251223
11,0.419687932
4,0.067956516
8,0.250554406
4,0.071200751
1,2.09E-05
9,0.366680156
4,0.031855806
1,0.000342825
11,0.482340907
2,0.026168494
9,0.3478441
6,0.130201309
7,0.178810414
7,0.22441111
11,0.436678518
8,0.291117645
18,0.917693659
13,0.662211922
5,0.115563382
5,0.115438583
19,0.968273913
9,0.322564227
16,0.79566133
1,0.000842117
1,4.85E-05
6,0.232147733
7,0.200297762
1,0.00038419
2,0.008364951
12,0.585057203
3,0.042937678
11,0.529967999
18,0.952776692
11,0.487415757
6,0.21601479
8,0.2406648
7,0.16545428
14,0.662230589
3,0.026037926
8,0.294842724
1,0.001116809
15,0.800004137
16,0.804879063
11,0.453618658
2,0.018009476
20,0.969160238
13,0.529729577
14,0.633343078
19,0.974394032
7,0.174754185
18,0.888367507
2,0.003176443
4,0.052910955
1,0.002033623
14,0.602421649
19,0.935677367
20,0.984314992
18,0.957773118
15,0.764347483
6,0.188605004
17,0.858524321
20,0.986196118
5,0.085020133
16,0.875785947
8,0.260105066
12,0.658458606
8,0.249886219
4,0.06293992
17,0.847366907
20,0.982983583
4,0.050380617
2,0.00497268
1,5.81E-05
7,0.189460415
6,0.113644725
12,0.635345158
19,0.949962418
14,0.759775935
2,0.018382009
18,0.946057
15,0.764780608
6,0.191906886
2,0.028333599
14,0.822769022
6,0.085380924
10,0.465302763
19,0.953008043
15,0.771761148
13,0.638217027
6,0.127435696
10,0.404435163
20,0.993979639
13,0.579149434
10,0.387225176
20,0.991411027
7,0.208785713
10,0.419509388
14,0.737527331
6,0.133963447
10,0.351402479
17,0.908755554
20,0.967623455
20,0.989250087
13,0.614376061
4,0.082560577
4,0.037046692
12,0.635374169
6,0.181020291
2,0.023730666
13,0.662289778
17,0.853583678
3,0.00910085
13,0.646086125
17,0.918189379
3,0.048788102
5,0.102063283
4,0.054839468
12,0.569836592
15,0.779127401
5,0.084541531
11,0.43016015
12,0.51882241
1,0.000830293
1,0.000709132
14,0.679177065
16,0.864127499
8,0.239486185
8,0.226991148
18,0.877265449
20,0.970442903
2,0.019931678
